inputId,Age_in_years,Credit_amount,Credit_history,Duration_in_month,Housing,Installment_rate_in_percentage_of_disposable_income,Job,Number_of_existing_credits_at_this_bank,Number_of_people_being_liable_to_provide_maintenance_for,Other_installment_plans,Personal_status_and_sex,Present_employment_since,Present_residence_since,Property,Purpose,Savings_account_bonds,Status_of_existing_checking_account,Telephone,_Other_debtors_or_guarantors,foreign_worker,good_3_bad_2_customer,groups
464,1,2767,A32,21,A151,4,A172,2,1,A141,A91,A75,2,A123,A49,A62,A12,1,A101,A201,0,1
465,1,2957,A34,24,A152,4,A173,2,1,A143,A93,A75,4,A122,A41,A61,A11,0,A101,A201,1,1
466,1,884,A34,18,A152,4,A173,1,2,A141,A93,A75,4,A123,A40,A61,A12,0,A101,A201,0,1
467,0,601,A32,4,A151,1,A172,1,2,A143,A92,A72,3,A121,A42,A61,A14,1,A101,A201,1,0
468,0,1936,A32,18,A151,2,A172,2,1,A143,A94,A74,4,A123,A43,A65,A11,1,A101,A201,1,0
469,1,1245,A34,18,A152,4,A173,1,1,A143,A94,A73,2,A123,A43,A61,A12,1,A101,A201,0,1
470,0,4308,A32,48,A151,3,A173,1,1,A143,A92,A72,4,A122,A49,A61,A11,1,A101,A201,0,0
471,1,2331,A34,12,A152,1,A173,1,1,A143,A93,A75,4,A121,A43,A65,A14,0,A102,A201,1,1
472,1,339,A31,12,A152,4,A172,1,1,A141,A94,A75,1,A123,A48,A61,A11,1,A101,A201,1,1
473,1,11938,A34,24,A152,2,A174,2,2,A143,A93,A73,3,A123,A410,A61,A12,0,A102,A201,0,1
474,0,652,A32,12,A151,4,A173,1,1,A143,A92,A75,4,A122,A42,A61,A11,1,A101,A201,1,0
475,1,1024,A33,24,A152,4,A173,1,1,A142,A94,A72,4,A121,A43,A61,A11,1,A101,A201,0,1
476,0,999,A32,24,A152,4,A173,2,1,A143,A93,A75,2,A123,A43,A65,A14,1,A101,A201,1,0
477,1,1377,A32,24,A153,4,A173,1,1,A143,A92,A75,2,A124,A43,A62,A13,0,A101,A201,1,1
478,0,8471,A33,18,A151,1,A173,2,1,A143,A92,A73,2,A123,A46,A65,A11,0,A101,A201,1,0
479,1,2522,A32,30,A152,1,A173,1,2,A143,A93,A75,3,A122,A43,A61,A11,1,A103,A201,1,1
480,1,915,A32,24,A152,4,A173,1,1,A141,A92,A75,2,A123,A40,A65,A11,1,A101,A201,0,1
481,0,1049,A34,18,A151,4,A173,1,1,A143,A92,A72,4,A122,A42,A61,A11,1,A101,A201,1,0
482,0,276,A32,9,A151,4,A172,1,1,A143,A94,A73,4,A121,A40,A61,A12,1,A101,A201,1,0
483,1,1164,A34,8,A153,3,A174,2,2,A141,A93,A75,4,A124,A410,A61,A11,0,A101,A201,1,1
484,0,5152,A32,24,A152,4,A173,1,1,A141,A93,A74,2,A123,A43,A61,A13,1,A101,A201,1,0
485,1,1055,A34,18,A152,4,A173,2,1,A143,A92,A72,1,A122,A40,A61,A14,1,A101,A201,1,1
486,1,1453,A32,18,A152,3,A173,1,1,A143,A92,A72,1,A121,A43,A61,A14,1,A101,A201,1,1
487,1,2329,A32,7,A152,1,A173,1,1,A143,A92,A72,1,A121,A43,A61,A12,1,A103,A201,1,1
488,0,2569,A32,39,A152,4,A173,1,1,A143,A93,A73,4,A123,A41,A63,A14,1,A101,A201,1,0
489,1,1056,A34,18,A152,3,A173,2,1,A141,A93,A75,3,A121,A40,A61,A12,1,A103,A201,0,1
490,0,1766,A32,6,A151,1,A173,1,1,A143,A94,A73,2,A122,A42,A61,A14,1,A101,A201,1,0
491,1,8318,A30,27,A153,2,A174,2,1,A143,A92,A75,4,A124,A49,A61,A12,0,A101,A201,0,1
492,1,2299,A32,36,A152,4,A173,1,1,A143,A93,A75,4,A123,A43,A63,A14,1,A101,A201,1,1
493,1,5493,A32,36,A153,2,A173,1,2,A143,A93,A75,4,A124,A41,A61,A11,1,A101,A201,1,1
494,1,2896,A32,24,A152,2,A173,1,1,A143,A93,A72,1,A123,A43,A62,A12,1,A101,A201,1,1
495,1,7432,A33,36,A151,2,A173,1,1,A143,A92,A73,2,A122,A40,A61,A12,1,A101,A201,1,1
496,1,1542,A32,12,A152,2,A173,1,1,A143,A93,A74,4,A123,A49,A61,A14,0,A101,A201,1,1
497,1,2073,A32,12,A152,4,A173,1,1,A143,A92,A73,2,A121,A43,A62,A14,1,A102,A201,1,1
498,1,2812,A32,24,A151,2,A173,1,1,A143,A92,A75,4,A121,A41,A65,A11,1,A101,A201,1,1
499,1,1659,A33,24,A151,4,A172,1,1,A143,A92,A72,2,A123,A43,A61,A11,0,A101,A201,0,1
500,1,2579,A32,12,A152,4,A172,1,2,A143,A93,A72,1,A121,A40,A61,A11,1,A101,A201,0,1
501,1,1346,A32,6,A153,2,A173,1,2,A141,A93,A75,4,A124,A43,A62,A14,0,A101,A201,1,1
502,1,1592,A34,12,A152,3,A173,1,1,A143,A92,A74,2,A122,A42,A64,A14,1,A101,A202,1,1
503,1,1553,A31,18,A152,4,A173,1,1,A141,A93,A73,3,A123,A42,A61,A11,1,A101,A201,0,1
504,0,2779,A32,18,A151,1,A173,1,1,A143,A94,A73,3,A123,A41,A61,A12,0,A101,A201,1,0
505,0,902,A32,12,A151,4,A173,1,1,A143,A94,A74,4,A122,A48,A61,A11,1,A101,A201,0,0
506,0,3632,A31,24,A151,1,A173,1,1,A141,A92,A73,4,A123,A41,A61,A11,1,A103,A202,1,0
507,1,14782,A31,60,A153,3,A174,2,1,A141,A92,A75,4,A124,A410,A62,A12,0,A101,A201,0,1
508,1,3181,A32,24,A152,4,A173,1,1,A143,A92,A72,4,A122,A43,A61,A14,0,A101,A201,1,1
509,1,3422,A32,18,A152,4,A173,3,2,A141,A93,A75,4,A122,A42,A61,A14,0,A101,A201,1,1
510,1,3552,A31,24,A152,3,A173,1,1,A141,A93,A74,4,A123,A42,A61,A11,1,A101,A201,0,1
511,1,6761,A34,6,A152,1,A174,2,2,A143,A93,A74,3,A124,A40,A61,A14,0,A101,A201,1,1
512,1,6615,A34,24,A153,2,A174,2,1,A143,A93,A71,4,A124,A41,A61,A11,0,A101,A201,1,1
513,0,3368,A34,15,A151,3,A173,2,1,A143,A93,A75,4,A124,A41,A64,A14,0,A101,A201,1,0
514,1,2032,A33,24,A153,4,A173,2,1,A143,A93,A75,4,A124,A40,A61,A14,0,A101,A201,1,1
515,1,9283,A31,42,A153,1,A174,1,1,A141,A93,A71,2,A124,A41,A61,A12,0,A101,A201,1,1
516,1,6758,A32,48,A152,3,A173,1,1,A143,A92,A73,2,A123,A43,A61,A11,0,A101,A201,0,1
517,0,2394,A32,36,A152,4,A173,1,1,A143,A92,A73,4,A123,A43,A65,A14,1,A101,A201,1,0
518,0,1048,A31,10,A152,4,A172,1,1,A142,A93,A73,4,A121,A43,A61,A12,1,A101,A201,1,0
519,1,7685,A31,48,A151,2,A173,1,1,A143,A92,A74,4,A123,A49,A61,A11,1,A103,A201,0,1
520,1,1291,A34,12,A152,4,A173,2,1,A143,A92,A73,2,A122,A43,A61,A14,1,A101,A201,1,1
521,1,1940,A31,18,A153,3,A174,1,1,A141,A93,A72,4,A124,A43,A61,A11,0,A102,A201,1,1
522,1,12680,A34,21,A153,4,A174,1,1,A143,A93,A75,4,A124,A40,A65,A14,0,A101,A201,0,1
523,0,1987,A32,24,A151,2,A172,1,2,A143,A93,A73,4,A121,A43,A61,A11,1,A101,A201,0,0
524,0,4110,A30,24,A151,3,A173,2,2,A141,A93,A75,4,A124,A42,A61,A11,1,A101,A201,0,0
525,0,1577,A32,11,A152,4,A173,1,1,A143,A92,A72,1,A121,A42,A64,A12,1,A101,A201,1,0
526,1,12389,A32,36,A153,1,A173,1,1,A143,A93,A73,4,A124,A40,A65,A12,0,A101,A201,0,1
527,1,1471,A34,15,A153,4,A173,2,1,A143,A93,A73,4,A124,A43,A61,A14,0,A101,A201,1,1
528,1,6887,A33,36,A152,4,A173,1,1,A142,A93,A73,3,A122,A46,A61,A11,0,A101,A201,0,1
529,0,1567,A32,12,A152,1,A173,1,1,A143,A92,A73,1,A123,A43,A61,A12,0,A101,A201,1,0
530,1,5324,A32,15,A153,1,A173,1,1,A143,A92,A75,4,A124,A40,A63,A14,1,A101,A201,1,1
531,1,8947,A33,36,A152,3,A174,1,2,A142,A93,A74,2,A123,A41,A65,A14,0,A101,A201,1,1
532,1,3565,A34,12,A152,2,A172,2,2,A143,A93,A72,1,A122,A46,A65,A14,1,A101,A201,1,1
533,1,5801,A34,12,A151,2,A173,1,1,A143,A93,A75,4,A122,A42,A65,A14,0,A101,A201,1,1
534,1,1516,A34,24,A152,4,A172,2,1,A143,A92,A73,1,A121,A43,A64,A14,1,A101,A201,1,1
535,1,1382,A34,6,A152,1,A173,2,1,A143,A92,A73,1,A123,A43,A61,A14,0,A101,A201,1,1
536,1,7511,A32,18,A153,1,A173,1,2,A143,A93,A75,4,A122,A41,A65,A11,0,A101,A201,0,1
537,1,951,A32,12,A151,4,A173,4,1,A141,A92,A72,4,A123,A42,A62,A12,1,A101,A201,0,1
538,1,3275,A34,21,A152,1,A174,1,1,A143,A93,A75,4,A123,A41,A61,A14,0,A101,A201,1,1
539,1,4370,A33,42,A152,3,A173,2,2,A141,A93,A74,2,A122,A43,A61,A11,0,A101,A201,0,1
540,1,6681,A33,48,A153,4,A173,1,2,A143,A93,A73,4,A124,A49,A65,A12,0,A101,A201,1,1
541,1,4139,A34,24,A152,3,A172,2,1,A143,A93,A73,3,A122,A49,A62,A14,0,A101,A201,1,1
542,0,10144,A32,60,A152,2,A173,1,1,A143,A92,A74,4,A121,A43,A62,A14,0,A101,A201,1,0
543,1,697,A31,12,A152,4,A173,2,1,A141,A93,A72,2,A123,A40,A61,A11,0,A101,A201,0,1
544,1,2671,A32,36,A153,4,A173,1,1,A143,A92,A73,4,A124,A43,A62,A12,1,A102,A201,0,1
545,1,7582,A33,48,A153,2,A174,1,1,A143,A93,A71,4,A124,A410,A62,A12,0,A101,A201,1,1
546,1,1860,A34,12,A152,4,A174,2,1,A143,A93,A71,2,A123,A41,A61,A12,0,A101,A201,1,1
547,1,1149,A34,18,A152,4,A173,2,1,A143,A93,A73,3,A121,A43,A64,A14,1,A101,A201,1,1
548,1,1231,A34,10,A152,3,A172,2,2,A143,A93,A75,4,A121,A40,A61,A14,1,A101,A202,1,1
549,1,3863,A33,24,A153,1,A173,1,1,A143,A93,A73,2,A124,A49,A61,A14,1,A101,A201,1,1
550,1,3617,A34,12,A151,1,A173,3,1,A143,A93,A75,4,A123,A42,A61,A12,0,A101,A201,1,1
551,1,894,A32,10,A152,4,A173,1,1,A143,A92,A74,3,A122,A48,A65,A14,0,A101,A201,1,1
552,1,6579,A32,24,A153,4,A174,1,1,A143,A93,A71,2,A124,A41,A61,A11,0,A101,A201,1,1
553,1,6419,A34,24,A153,2,A174,2,2,A143,A92,A75,4,A124,A41,A61,A11,0,A101,A201,1,1
554,1,7980,A33,36,A151,4,A173,2,1,A143,A93,A72,4,A123,A49,A65,A14,0,A101,A201,0,1
555,0,2483,A31,24,A152,4,A173,1,1,A142,A93,A73,4,A121,A42,A63,A11,0,A101,A201,1,0
556,1,1603,A32,24,A152,4,A173,1,1,A143,A92,A75,4,A123,A43,A61,A11,1,A101,A201,1,1
557,0,3812,A32,15,A152,1,A173,1,1,A143,A92,A72,4,A123,A41,A62,A14,0,A101,A201,1,0
558,1,9566,A34,36,A152,2,A173,2,1,A142,A92,A73,2,A123,A43,A61,A14,1,A101,A201,1,1
559,1,8648,A33,24,A152,2,A173,2,1,A141,A93,A72,2,A123,A49,A61,A14,0,A101,A201,0,1
560,1,1887,A34,18,A152,4,A173,2,1,A141,A94,A73,4,A121,A49,A65,A12,1,A101,A201,1,1
561,1,1585,A34,24,A152,4,A173,2,1,A143,A93,A74,3,A122,A42,A61,A14,1,A101,A201,1,1
562,1,9055,A32,36,A153,2,A172,1,2,A143,A93,A73,4,A124,A46,A65,A14,0,A101,A201,1,1
563,1,2333,A32,30,A152,4,A174,1,1,A141,A93,A75,2,A123,A43,A63,A14,1,A101,A201,1,1
564,1,846,A33,7,A153,3,A173,1,1,A143,A93,A75,4,A124,A43,A65,A14,1,A101,A201,1,1
565,1,2708,A32,15,A152,2,A172,2,1,A141,A93,A72,3,A122,A42,A61,A14,1,A101,A201,1,1
566,1,3496,A31,30,A152,4,A173,1,2,A142,A93,A73,2,A123,A42,A64,A12,0,A101,A201,1,1
567,1,3384,A34,6,A151,1,A174,1,1,A143,A91,A73,4,A121,A42,A61,A11,0,A101,A201,0,1
568,1,1940,A34,24,A152,4,A173,1,1,A143,A93,A75,4,A121,A40,A64,A14,0,A101,A201,1,1
569,0,975,A34,15,A152,2,A173,2,1,A143,A91,A73,3,A122,A42,A61,A11,1,A101,A201,1,0
570,0,1228,A32,12,A152,4,A172,1,1,A143,A92,A73,2,A121,A40,A61,A11,1,A101,A201,0,0
571,1,2515,A32,18,A152,3,A173,1,1,A143,A93,A73,4,A121,A42,A61,A14,0,A101,A201,1,1
572,0,3234,A32,24,A151,4,A172,1,1,A143,A92,A72,4,A121,A42,A61,A11,0,A101,A201,0,0
573,1,7678,A33,36,A152,2,A173,2,1,A143,A92,A74,4,A123,A42,A63,A14,0,A101,A201,1,1
574,1,2337,A34,36,A152,4,A173,1,1,A143,A93,A75,4,A121,A43,A61,A12,1,A101,A201,1,1
575,1,12579,A32,24,A153,4,A174,1,1,A143,A92,A75,2,A124,A41,A61,A12,0,A101,A201,0,1
576,1,5096,A34,48,A152,2,A174,1,1,A143,A92,A73,3,A123,A42,A61,A12,0,A101,A201,0,1
577,1,7824,A31,28,A151,3,A173,2,2,A141,A93,A72,4,A121,A41,A65,A14,0,A103,A201,1,1
578,0,886,A32,12,A152,4,A173,1,1,A143,A92,A73,2,A123,A43,A65,A14,1,A101,A201,1,0
579,1,2063,A32,6,A151,4,A174,1,1,A143,A94,A72,3,A123,A43,A61,A12,0,A101,A201,1,1
580,1,1278,A32,24,A152,4,A174,1,1,A143,A93,A75,1,A121,A43,A61,A14,0,A101,A201,1,1
581,0,2631,A32,15,A152,3,A172,1,1,A143,A92,A73,2,A121,A45,A62,A12,1,A101,A201,1,0
582,1,4788,A32,48,A152,4,A173,1,2,A143,A93,A74,3,A122,A41,A61,A11,1,A101,A201,1,1
583,1,1082,A32,9,A152,4,A172,2,1,A143,A93,A75,4,A123,A43,A61,A12,1,A101,A201,1,1
584,1,4712,A33,24,A152,4,A174,2,1,A141,A93,A73,2,A122,A49,A65,A12,0,A101,A201,1,1
585,1,1647,A31,21,A152,4,A172,2,2,A143,A93,A73,2,A122,A40,A65,A11,1,A101,A201,0,1
586,1,4249,A34,30,A152,4,A174,2,1,A143,A94,A71,2,A123,A40,A61,A12,1,A101,A201,0,1
587,1,1203,A32,6,A152,3,A173,1,1,A143,A93,A75,2,A122,A40,A62,A11,0,A101,A201,1,1
588,1,1271,A34,15,A153,3,A173,2,1,A143,A93,A73,4,A124,A43,A65,A13,0,A101,A201,0,1
589,1,717,A34,12,A152,4,A173,3,1,A143,A93,A75,4,A121,A43,A61,A14,1,A101,A201,1,1
590,1,1864,A34,18,A152,4,A173,2,1,A143,A92,A73,2,A121,A46,A62,A14,1,A101,A201,0,1
591,1,1388,A32,9,A151,4,A173,1,1,A143,A92,A73,2,A121,A42,A61,A14,1,A101,A201,1,1
592,1,609,A34,6,A152,4,A173,2,1,A143,A92,A74,3,A122,A40,A61,A11,1,A101,A202,1,1
593,1,3990,A31,36,A152,3,A171,1,1,A141,A92,A72,2,A124,A44,A65,A12,1,A101,A201,1,1
594,1,14027,A32,60,A152,4,A174,1,1,A143,A93,A74,2,A124,A40,A61,A12,0,A101,A201,0,1
595,1,3872,A32,18,A152,2,A173,1,1,A143,A92,A71,4,A123,A45,A61,A12,0,A101,A201,1,1
596,1,745,A32,9,A152,3,A172,1,1,A143,A92,A73,2,A121,A43,A61,A13,1,A101,A201,0,1
597,1,1275,A34,24,A152,2,A173,2,1,A143,A91,A73,4,A121,A49,A64,A13,0,A101,A201,1,1
598,1,2212,A32,20,A152,4,A173,1,1,A143,A93,A74,4,A123,A42,A65,A11,0,A101,A201,1,1
599,1,1893,A32,12,A152,4,A173,1,1,A143,A92,A73,4,A122,A40,A61,A11,0,A103,A201,1,1
600,1,1223,A32,12,A151,1,A173,2,1,A143,A91,A75,1,A121,A40,A61,A12,1,A101,A201,0,1
601,0,3441,A32,30,A151,2,A173,1,1,A143,A92,A73,4,A123,A42,A62,A12,1,A102,A201,0,0
602,1,6304,A34,36,A152,4,A173,2,1,A143,A93,A75,4,A121,A49,A65,A14,1,A101,A201,1,1
603,0,3972,A32,24,A151,2,A173,1,1,A143,A92,A74,4,A122,A42,A61,A14,0,A101,A201,1,0
604,1,4165,A30,18,A152,2,A173,2,2,A142,A93,A73,2,A123,A49,A61,A14,1,A101,A201,0,1
605,1,783,A31,6,A152,1,A172,1,2,A142,A93,A73,2,A121,A40,A65,A14,1,A103,A201,1,1
606,1,2978,A32,6,A152,1,A173,1,1,A143,A93,A73,2,A123,A42,A63,A14,0,A101,A201,1,1
607,0,1331,A32,12,A152,2,A173,1,1,A142,A93,A72,1,A123,A43,A61,A12,1,A101,A201,0,0
608,0,983,A32,12,A151,1,A172,1,1,A143,A92,A72,4,A121,A42,A64,A12,1,A101,A201,1,0
609,1,3878,A34,24,A152,4,A173,1,1,A143,A91,A72,2,A123,A40,A62,A12,0,A101,A201,1,1
610,1,3017,A32,12,A151,3,A174,1,1,A143,A92,A72,1,A121,A42,A61,A12,1,A101,A201,1,1
611,1,5965,A33,27,A152,1,A174,2,1,A143,A93,A75,2,A123,A41,A61,A12,0,A101,A201,1,1
612,1,1300,A32,15,A153,4,A173,1,2,A141,A93,A75,4,A124,A41,A65,A14,1,A101,A201,1,1
613,1,3749,A32,24,A152,2,A173,1,1,A143,A92,A72,4,A123,A42,A61,A13,1,A101,A201,1,1
614,1,2241,A34,10,A151,1,A172,2,2,A143,A93,A72,3,A121,A40,A61,A11,1,A101,A202,1,1
615,0,996,A34,12,A152,4,A173,2,1,A143,A92,A74,4,A121,A45,A65,A14,1,A101,A201,1,0
616,1,2622,A32,18,A152,4,A173,1,1,A143,A93,A73,4,A123,A49,A62,A12,1,A101,A201,1,1
617,1,7308,A32,10,A153,2,A174,1,1,A141,A93,A71,4,A124,A40,A61,A12,0,A101,A201,1,1
618,1,2743,A34,28,A152,4,A173,2,1,A143,A93,A75,2,A123,A43,A61,A14,1,A101,A201,1,1
619,1,6350,A32,30,A152,4,A173,1,1,A143,A93,A75,4,A122,A42,A65,A11,1,A101,A201,0,1
620,1,3124,A34,12,A152,1,A172,2,2,A141,A93,A72,3,A121,A40,A61,A12,1,A101,A201,1,1
621,1,1050,A33,6,A152,4,A174,2,1,A142,A93,A71,1,A122,A42,A61,A12,0,A101,A201,1,1
622,0,1478,A32,9,A152,4,A173,1,1,A143,A93,A74,2,A123,A43,A61,A14,1,A101,A201,0,0
623,1,1424,A34,12,A152,4,A173,1,1,A143,A93,A74,3,A122,A44,A61,A12,1,A101,A201,1,1
624,1,3577,A32,9,A151,1,A173,1,2,A143,A93,A73,2,A121,A40,A62,A14,1,A103,A202,1,1
625,1,6761,A32,18,A151,2,A173,2,1,A143,A93,A73,4,A123,A40,A65,A14,1,A101,A201,0,1
626,1,3676,A34,6,A151,1,A173,3,2,A143,A93,A73,3,A121,A40,A61,A11,1,A101,A201,1,1
627,0,3913,A32,36,A152,2,A173,1,1,A143,A93,A73,2,A121,A43,A61,A13,0,A101,A201,1,0
628,1,1410,A32,14,A152,1,A173,1,1,A143,A94,A75,2,A121,A49,A63,A12,0,A101,A201,1,1
629,1,6289,A30,42,A152,2,A173,2,1,A143,A91,A72,1,A122,A49,A61,A13,1,A101,A201,1,1
630,1,1037,A32,12,A152,3,A172,1,1,A143,A93,A74,4,A121,A49,A62,A12,1,A101,A201,1,1
631,1,6361,A34,18,A152,2,A173,1,1,A143,A93,A75,1,A124,A42,A61,A12,0,A101,A201,1,1
632,1,2647,A32,6,A151,2,A173,1,2,A143,A93,A73,3,A121,A43,A63,A11,1,A101,A201,1,1
633,1,3342,A34,36,A152,4,A173,1,1,A143,A93,A75,2,A123,A43,A65,A14,0,A101,A201,1,1
634,0,3092,A32,24,A151,3,A173,1,1,A143,A94,A72,2,A123,A43,A62,A12,0,A101,A201,0,0
635,0,1355,A32,24,A152,3,A172,1,1,A143,A92,A72,4,A123,A40,A61,A12,0,A101,A201,0,0
636,1,1231,A34,24,A151,4,A174,2,1,A143,A92,A75,4,A122,A43,A64,A11,0,A101,A201,1,1
637,1,1198,A31,6,A153,4,A173,1,1,A143,A92,A75,4,A124,A46,A61,A11,1,A101,A201,0,1
638,1,1393,A34,11,A152,4,A174,2,1,A143,A92,A72,4,A123,A40,A61,A14,1,A101,A201,1,1
639,1,3485,A34,20,A152,2,A173,2,1,A143,A91,A72,4,A121,A40,A65,A14,0,A101,A201,1,1
640,1,2775,A34,18,A152,2,A173,2,1,A141,A93,A74,2,A122,A40,A61,A14,1,A101,A201,0,1
641,1,3965,A32,42,A152,4,A173,1,1,A143,A93,A72,3,A123,A43,A61,A11,1,A101,A201,0,1
642,1,1934,A34,12,A152,2,A173,2,1,A143,A93,A75,2,A124,A43,A61,A14,1,A101,A201,1,1
643,1,3594,A33,15,A152,1,A172,2,1,A143,A92,A72,2,A122,A41,A61,A14,1,A101,A201,1,1
644,1,1740,A34,6,A151,2,A173,2,1,A143,A94,A75,2,A121,A43,A61,A14,1,A101,A201,1,1
645,1,3059,A32,12,A152,2,A172,1,1,A143,A91,A74,4,A121,A43,A64,A14,1,A101,A201,1,1
646,1,6842,A34,24,A152,2,A174,2,2,A143,A93,A73,4,A122,A41,A65,A14,0,A101,A201,1,1
647,1,4210,A32,36,A152,4,A173,1,1,A143,A93,A73,2,A123,A43,A61,A13,1,A101,A201,0,1
648,1,2631,A32,15,A151,2,A173,2,1,A143,A92,A73,4,A123,A40,A62,A12,0,A101,A201,0,1
649,0,1126,A32,18,A151,4,A173,1,1,A143,A92,A72,2,A121,A43,A65,A14,0,A101,A201,1,0
650,1,1533,A32,24,A152,4,A173,1,1,A142,A92,A72,3,A123,A43,A61,A14,0,A101,A201,1,1
651,1,609,A31,12,A152,4,A171,1,1,A143,A92,A72,1,A121,A49,A61,A13,1,A101,A201,0,1
652,0,5771,A34,30,A152,4,A173,2,1,A143,A92,A74,2,A123,A43,A61,A14,1,A101,A201,1,0
653,1,1068,A32,6,A152,4,A173,1,2,A143,A93,A75,4,A123,A43,A61,A12,1,A101,A201,1,1
654,1,3399,A32,12,A152,2,A174,1,1,A143,A93,A75,3,A123,A43,A65,A13,1,A101,A201,1,1
655,1,2223,A34,24,A152,4,A173,2,1,A141,A93,A75,4,A122,A43,A62,A14,1,A101,A201,1,1
656,1,12204,A30,48,A152,2,A174,1,1,A141,A93,A73,2,A123,A49,A65,A12,0,A101,A201,1,1
657,1,958,A34,12,A152,2,A172,2,2,A143,A93,A74,3,A121,A40,A61,A12,1,A101,A201,1,1
658,0,1289,A32,12,A152,4,A172,1,1,A143,A93,A73,1,A122,A42,A61,A11,1,A103,A201,1,0
659,0,1007,A32,12,A152,4,A173,1,1,A143,A94,A73,1,A121,A40,A64,A12,1,A101,A201,1,0
660,0,6229,A34,36,A151,4,A172,2,1,A143,A92,A72,4,A124,A42,A61,A11,0,A102,A201,0,0
661,1,937,A32,24,A152,4,A172,2,1,A143,A94,A72,3,A123,A48,A61,A14,1,A101,A201,1,1
662,0,6568,A32,24,A152,2,A172,1,1,A142,A94,A73,2,A123,A49,A61,A11,1,A101,A201,1,0
663,1,1239,A32,18,A153,4,A173,1,1,A143,A93,A73,4,A124,A46,A65,A12,1,A101,A201,1,1
664,1,3959,A32,36,A152,4,A174,1,1,A143,A93,A71,3,A122,A42,A61,A11,0,A101,A201,1,1
665,1,1925,A32,24,A152,2,A173,1,1,A143,A93,A73,2,A121,A42,A61,A13,1,A101,A201,1,1
666,1,9960,A32,48,A152,1,A173,1,1,A143,A92,A72,2,A123,A42,A61,A12,0,A101,A201,0,1
667,1,2764,A33,33,A152,2,A173,2,1,A143,A92,A73,2,A123,A49,A61,A14,0,A101,A201,1,1
668,1,5234,A34,30,A152,4,A174,2,1,A143,A94,A71,2,A123,A40,A61,A12,1,A101,A201,0,1
669,1,1240,A34,12,A152,4,A173,2,1,A143,A92,A75,2,A121,A43,A65,A14,0,A101,A201,1,1
670,1,4113,A32,24,A151,3,A173,1,1,A143,A92,A72,4,A123,A41,A63,A12,1,A101,A201,0,1
671,1,3905,A34,11,A151,2,A173,2,2,A143,A93,A73,2,A121,A40,A61,A11,1,A101,A201,1,1
672,0,1882,A32,18,A151,4,A173,2,1,A141,A92,A73,4,A123,A43,A61,A11,1,A101,A201,0,0
673,0,1352,A32,6,A151,1,A171,1,1,A143,A92,A71,2,A122,A41,A63,A11,0,A101,A201,1,0
674,1,640,A32,12,A152,4,A172,1,1,A143,A91,A73,2,A121,A40,A61,A14,1,A101,A201,1,1
675,1,5943,A32,24,A152,1,A173,2,1,A143,A92,A72,1,A123,A43,A65,A14,0,A101,A201,0,1
676,1,7297,A32,60,A151,4,A173,1,1,A143,A93,A75,4,A124,A49,A61,A11,1,A102,A201,0,1
677,1,5003,A30,21,A152,1,A173,2,1,A141,A92,A73,4,A122,A40,A65,A14,0,A101,A201,0,1
678,0,15672,A32,48,A152,2,A173,1,1,A143,A93,A73,2,A123,A49,A61,A12,0,A101,A201,0,0
679,1,14179,A34,39,A152,4,A174,2,1,A143,A93,A74,4,A122,A42,A65,A11,0,A101,A201,1,1
680,1,2002,A32,12,A151,3,A173,1,2,A143,A93,A74,4,A122,A40,A61,A12,0,A101,A201,1,1
681,1,1413,A32,12,A152,3,A173,1,1,A143,A93,A74,2,A122,A41,A64,A14,1,A101,A202,1,1
682,1,1158,A32,12,A152,3,A173,1,1,A143,A91,A73,1,A123,A43,A63,A12,0,A101,A201,1,1
683,1,3077,A32,12,A152,2,A173,1,1,A143,A93,A73,4,A123,A43,A61,A14,0,A101,A201,1,1
684,1,1494,A32,4,A152,1,A172,1,2,A143,A93,A72,2,A121,A40,A65,A13,1,A101,A202,1,1
685,1,1546,A32,10,A152,3,A172,1,2,A143,A93,A73,2,A121,A40,A61,A14,1,A101,A202,1,1
686,1,1042,A32,18,A152,4,A173,1,1,A143,A92,A73,2,A122,A40,A65,A12,1,A101,A201,0,1
687,1,2360,A34,15,A152,2,A173,1,1,A143,A93,A73,2,A123,A41,A63,A13,0,A101,A201,1,1
688,1,625,A32,12,A152,4,A172,1,1,A141,A94,A72,1,A121,A43,A61,A12,1,A103,A201,1,1
689,1,3979,A32,48,A152,4,A173,2,2,A143,A93,A74,1,A123,A43,A65,A12,0,A101,A201,1,1
690,0,4811,A32,30,A151,2,A172,1,1,A142,A92,A74,4,A122,A41,A65,A14,1,A101,A201,1,0
691,1,6199,A30,12,A151,4,A173,2,1,A143,A93,A73,2,A122,A43,A61,A11,0,A101,A201,0,1
692,0,2146,A34,10,A151,1,A173,2,1,A143,A92,A72,3,A121,A42,A61,A14,1,A101,A201,1,0
693,1,1322,A34,11,A152,4,A173,2,1,A143,A92,A73,4,A123,A40,A64,A12,1,A101,A201,1,1
694,1,1469,A32,24,A151,4,A172,1,1,A143,A94,A75,4,A121,A40,A62,A14,1,A101,A201,1,1
695,1,6836,A33,60,A152,3,A173,2,1,A143,A93,A75,4,A124,A49,A61,A11,0,A101,A201,0,1
696,1,666,A34,6,A152,3,A172,2,1,A143,A92,A74,4,A121,A40,A64,A11,0,A101,A201,1,1
697,0,1554,A34,6,A151,1,A173,2,1,A143,A92,A74,2,A123,A43,A61,A14,0,A101,A201,1,0
